document_url,song_url,embed
https://help.synapse.org/docs/Managing-Your-Account.2055405596.html,https://suno.com/s/bZPTdARWb9hA2UPp,"<iframe src=""https://suno.com/embed/35a1f839-985e-4a9f-9af1-0101dc4ca687"" width=""760"" height=""240""><a href=""https://suno.com/song/35a1f839-985e-4a9f-9af1-0101dc4ca687"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Navigating-Synapse.2048557182.html,https://suno.com/s/7H6KYSTVCMuMTHei,"<iframe src=""https://suno.com/embed/763e4856-64f7-4a42-9c73-06c07530ccb3"" width=""760"" height=""240""><a href=""https://suno.com/song/763e4856-64f7-4a42-9c73-06c07530ccb3"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Organizing-Data-With-Tables.2011038095.html,https://suno.com/s/X1XQ1voaiP3nSSiO,"<iframe src=""https://suno.com/embed/06b0b5f3-e809-4e45-ac49-18288a68e3e8"" width=""760"" height=""240""><a href=""https://suno.com/song/06b0b5f3-e809-4e45-ac49-18288a68e3e8"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Participating-in-a-Challenge.1985151441.html,https://suno.com/s/h9ZO2C2n8e9ZzkDc,"<iframe src=""https://suno.com/embed/46288140-f2af-4e56-8a71-184dec885a45"" width=""760"" height=""240""><a href=""https://suno.com/song/46288140-f2af-4e56-8a71-184dec885a45"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Provenance.1972470373.html,https://suno.com/s/cW3A4g3OVBpsNVAV,"<iframe src=""https://suno.com/embed/3a5260be-041f-4700-b8b5-f539a8029078"" width=""760"" height=""240""><a href=""https://suno.com/song/3a5260be-041f-4700-b8b5-f539a8029078"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Running-a-Challenge.2163409505.html,https://suno.com/s/5R3QA5DI5d06BZVR,"<iframe src=""https://suno.com/embed/0d639cbe-4932-4a69-9089-ce7ede03ee3e"" width=""760"" height=""240""><a href=""https://suno.com/song/0d639cbe-4932-4a69-9089-ce7ede03ee3e"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Setting-Up-a-Project.2055471258.html,https://suno.com/s/qjDBQSgqHV1pAzlG,"<iframe src=""https://suno.com/embed/3c493b0d-9733-4e26-8cf1-5715423a6841"" width=""760"" height=""240""><a href=""https://suno.com/song/3c493b0d-9733-4e26-8cf1-5715423a6841"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Synapse-Docker-Registry.2011037752.html,https://suno.com/s/7h0va6FBY0IggdC5,"<iframe src=""https://suno.com/embed/20880a94-05b3-447a-bc65-5145606b10b0"" width=""760"" height=""240""><a href=""https://suno.com/song/20880a94-05b3-447a-bc65-5145606b10b0"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Synapse-Governance.2004255211.html,https://suno.com/s/h33RbTydLBUiP2YC,"<iframe src=""https://suno.com/embed/b4f164aa-284d-4a1e-a8cd-4173c0d6e021"" width=""760"" height=""240""><a href=""https://suno.com/song/b4f164aa-284d-4a1e-a8cd-4173c0d6e021"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Synapse-Infrastructure.2835382273.html,https://suno.com/s/5ixe1SHXEay7JAIh,"<iframe src=""https://suno.com/embed/516cffa5-e8b7-48f8-b0b7-ac38f727b0d6"" width=""760"" height=""240""><a href=""https://suno.com/song/516cffa5-e8b7-48f8-b0b7-ac38f727b0d6"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Synapse-User-Account-Types.2007072795.html,https://suno.com/s/mNO4XivgBzBI7sXl,"<iframe src=""https://suno.com/embed/effdf95b-59ec-4efa-ae4d-006a3eaa8ab8"" width=""760"" height=""240""><a href=""https://suno.com/song/effdf95b-59ec-4efa-ae4d-006a3eaa8ab8"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Teams.1985446029.html,https://suno.com/s/YUxEW7oEwziejDr0,"<iframe src=""https://suno.com/embed/be94afbc-3e12-4e60-a137-914a196ea6b6"" width=""760"" height=""240""><a href=""https://suno.com/song/be94afbc-3e12-4e60-a137-914a196ea6b6"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Uploading-and-Organizing-Data.2002846338.html,https://suno.com/s/585sDoMgeRJCl0dR,"<iframe src=""https://suno.com/embed/6e6d1069-29a2-4023-a060-4e85b1821724"" width=""760"" height=""240""><a href=""https://suno.com/song/6e6d1069-29a2-4023-a060-4e85b1821724"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Use-Cases.1985151645.html,https://suno.com/s/85OBd6wujcww8lyl,"<iframe src=""https://suno.com/embed/673a33ed-cba9-42cd-90de-c93db6b4d3dd"" width=""760"" height=""240""><a href=""https://suno.com/song/673a33ed-cba9-42cd-90de-c93db6b4d3dd"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Using-Synapse-as-an-OAuth-Server.2048327904.html,https://suno.com/s/z7ewBqJTRfIc38Hx,"<iframe src=""https://suno.com/embed/9f4cebd7-52a9-45af-81ce-6977d8230940"" width=""760"" height=""240""><a href=""https://suno.com/song/9f4cebd7-52a9-45af-81ce-6977d8230940"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Versioning.2668134540.html,https://suno.com/s/7E3zX2aVrrumLuvU,"<iframe src=""https://suno.com/embed/ebfa9c0c-1f04-4ca8-bf88-660379c32a6f"" width=""760"" height=""240""><a href=""https://suno.com/song/ebfa9c0c-1f04-4ca8-bf88-660379c32a6f"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Views.2011070739.html,https://suno.com/s/VkcQJO2BVeSjcAYJ,"<iframe src=""https://suno.com/embed/38f9f07e-031a-41f8-a8ed-ae47915d79c5"" width=""760"" height=""240""><a href=""https://suno.com/song/38f9f07e-031a-41f8-a8ed-ae47915d79c5"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Sage-Offerings.2965078125.html,https://suno.com/s/ERcOA60GNNdLL3kR,"<iframe src=""https://suno.com/embed/0c21f003-6cdf-4930-9637-2298d58f4163"" width=""760"" height=""240""><a href=""https://suno.com/song/0c21f003-6cdf-4930-9637-2298d58f4163"">Listen on Suno</a></iframe>"
